Id,Designator,Package,Quantity,Designation,Supplier and ref,
1,"DS201,DS401,DS501,DS301",NHD-0208AZ-FL-GBW,4,NHD-0208AZ-FL-GBW,‎NHD-0208AZ-FL-GBW,
2,"SW201,SW301,SW401,SW501",EN12-HS22AF18,4,Vol_Encoder,‎EN12-HS22AF18,
3,"C201,C202,C204,C203,C505,C405,C305,C205,C103,C102,C401,C402,C403,C404,C501,C502,C503,C504,C301,C302,C303,C304,C104,C105,C106,C107",C_0805_HandSoldering,27,0.1µ,‎C0805C104Z3VACTU,50 for price break
4,"U201,U401,U501,U301",DIP-28_W7.62mm,4,MCP23017_SP,‎MCP23017-E/SP,
5,"D201,D401,D501,D301",LED_1206_HandSoldering,4,LED_RED,CMD15-21VRD/TR8 ,Vf=2.1V @ 20mA
6,"SW202,SW103,SW402,SW502,SW302,SW101,SW102",SW_PUSH_6mm,7,SW_PUSH_SPST,PTS645SH43-2 LFS,
7,U102,SOIC-14_3.9x8.7mm_Pitch1.27mm,2,SN74HC21DR,SN74HC21DR,
8,U101,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,SN74LHC08DR, ‎SN74HC08DR,
9,A101,SHIELD_ARDUINO_NANO,1,Arduino_Nano_v3.x,‎A000005‎,Not ordered since I already have one
10,"D109,D105",LED_1206_HandSoldering,2,LED_GREEN,CMD15-21VGD/TR8,Vf=2.1V @ 20mA
11,RV101,TRIM_3352T-1-103LF,1,10K, ‎3352T-1-103LF‎ ,
12,"D101,D102,D103,D104",D_1206,4,D_Schottky,SD1206S040S0R5 ,
13,U103,SSOP-8_2.95x2.8mm_Pitch0.65mm,1,74LVC3G17, ‎SN74LVC3G17DCTR,
14,"D202,D302,D402,D502",Diode_Dual_SOT-23-6,4,BAT54DW-7-F, ‎BAT54HT1G,
15,"Q201,Q301,Q401,Q501",SOT-23,4,Q_NPN_BEC,MMBT3904-7-F,
16,"U202,U302,U402,U502",SOT-23-6,4,74LVC2G17, ‎SN74LVC2G17DBVR,
17,C101,CP_Radial_D8.0mm_P3.50mm,1,100µ,‎UMV1E100MFD1TP,
18,"R101,R102",R_1206,2,4.7K,RC1206FR-074K7L,
19,"R103,R105,R107,R206,R207,R208,R306,R307,R308,R406,R407,R408,R506,R507,R508",R_1206,15,1K,RNCP1206FTD1K00,
20,"R104,R108,R109,R201,R203,R204,R205,R301,R303,R304,R305,R401,R403,R404,R405,R501,R503,R504,R505",R_1206,19,10K,RC1206FR-0710KL,
21,"R106,R202,R302,R402,R502,R111",R_1206,6,150,311-150FRCT-ND ,
22,R110,R_1206,1,250,RMCF1206FT270R ,
